god-runtime  | 2026-06-11 20:28:45,457 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:45,467 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:28:45,467 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:28:45,467 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:28:45,467 [DEBUG] httpcore.connection: close.started
god-runtime  | 2026-06-11 20:28:45,467 [DEBUG] httpcore.connection: close.complete
god-runtime  | 2026-06-11 20:28:45,478 [DEBUG] god.memory: episode committed d4b74dbb id=7e320fd6 cid=QmWYNGoky8Dr
god-runtime  | 2026-06-11 20:28:45,632 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:45,633 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:28:45,634 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:45,634 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:28:45,634 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:45,755 [DEBUG] watchfiles.main: 3 changes detected: {(<Change.modified: 2>, '/app/data/agent_env/6f915b69/6f915b69-1ddc-4157-8e89-20f767eb4411/world/snapshot.json'), (<Change.modified: 2>, '/app/data/agent_env/6f915b69/6f915b69-1ddc-4157-8e89-20f767eb4411/self/recent_actions.json'), (<Change.modified: 2>, '/app/data/agent_env/6f915b69/6f915b69-1ddc-4157-8e89-20f767eb4411/self/status.json')}
god-runtime  | 2026-06-11 20:28:46,305 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:28:46 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:28:46,306 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:28:46,306 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:47,024 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:28:47,025 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:28:47,025 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:28:47,027 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:47,027 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:28:47,027 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:47,028 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:28:47,028 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:47,858 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:28:47 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:28:47,859 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:28:47,859 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:48,454 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:28:48,454 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:28:48,454 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:28:48,472 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:48,472 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:28:48,472 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:48,472 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:28:48,472 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:49,465 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:28:49 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:28:49,465 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:28:49,465 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:51,390 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:28:51,390 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:28:51,390 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:28:51,391 [DEBUG] god.grounding:   Elder-Drift-9D71 grounding reject: action JSON leaked into thought ΓÇö '{"thought": "I am considering purchasing the 'Galactic Histo'
god-runtime  | 2026-06-11 20:28:51,392 [DEBUG] god.events: ΓåÆ world.local-dev-world-1.events.cognitive.agent.thought (seq=4594)
god-runtime  | 2026-06-11 20:28:51,402 [DEBUG] god.runner:   Elder-Drift-9D71 [explorer/thought]: I scan the service list for gaps I can fill before rent is due.
god-runtime  | DEBUG:    > TEXT '{"type": "delta", "epoch": 26, "events": [{"eve...ges": [], "agents": []}' [575 bytes]
god-runtime  | 2026-06-11 20:28:51,409 [DEBUG] httpcore.connection: connect_tcp.started host='ipfs-node-1' port=5001 local_address=None timeout=12 socket_options=None
god-runtime  | 2026-06-11 20:28:51,410 [DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7db4ad45b9d0>
god-runtime  | 2026-06-11 20:28:51,410 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:51,411 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:28:51,411 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:51,411 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:28:51,411 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:51,415 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Access-Control-Allow-Headers', b'X-Stream-Output, X-Chunked-Output, X-Content-Length'), (b'Access-Control-Expose-Headers', b'X-Stream-Output, X-Chunked-Output, X-Content-Length'), (b'Content-Type', b'application/json'), (b'Server', b'kubo/0.42.0'), (b'Trailer', b'X-Stream-Error'), (b'Vary', b'Origin'), (b'X-Chunked-Output', b'1'), (b'Date', b'Thu, 11 Jun 2026 20:28:51 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:28:51,415 [INFO] httpx: HTTP Request: POST http://ipfs-node-1:5001/api/v0/add "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:28:51,416 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:51,427 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:28:51,427 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:28:51,427 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:28:51,427 [DEBUG] httpcore.connection: close.started
god-runtime  | 2026-06-11 20:28:51,427 [DEBUG] httpcore.connection: close.complete
god-runtime  | 2026-06-11 20:28:51,436 [DEBUG] god.memory: episode committed 6f915b69 id=ff3d3c4b cid=QmNZtnAbYYkE
god-runtime  | 2026-06-11 20:28:51,589 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:51,589 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:28:51,590 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:51,590 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:28:51,590 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:52,023 [DEBUG] watchfiles.main: 3 changes detected: {(<Change.modified: 2>, '/app/data/agent_env/c998808c/c998808c-df6d-4cf5-9536-25763aa5d6e6/self/recent_actions.json'), (<Change.modified: 2>, '/app/data/agent_env/c998808c/c998808c-df6d-4cf5-9536-25763aa5d6e6/self/status.json'), (<Change.modified: 2>, '/app/data/agent_env/c998808c/c998808c-df6d-4cf5-9536-25763aa5d6e6/world/snapshot.json')}
god-runtime  | 2026-06-11 20:28:52,241 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:28:52 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:28:52,241 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:28:52,242 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:53,598 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:28:53,598 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:28:53,598 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:28:53,601 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:53,601 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:28:53,601 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:53,601 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:28:53,601 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:54,439 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:28:54 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:28:54,439 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:28:54,440 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | DEBUG:    % sending keepalive ping
god-runtime  | DEBUG:    > PING 7d b0 05 c4 [binary, 4 bytes]
god-runtime  | DEBUG:    < PONG 7d b0 05 c4 [binary, 4 bytes]
god-runtime  | DEBUG:    % received keepalive pong
god-runtime  | 2026-06-11 20:28:55,164 [INFO] god.rent: Rent cycle (sim): 8 living agents
god-runtime  | DEBUG:    > TEXT '{"type": "snapshot", "epoch": 1781209735, "agen...": "local-dev-world-1"}' [77155 bytes]
god-runtime  | DEBUG:    < TEXT 'ping' [4 bytes]
god-runtime  | DEBUG:    > TEXT '{"type": "pong", "epoch": 27}' [29 bytes]
god-runtime  | 2026-06-11 20:28:55,642 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:28:55,642 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:28:55,642 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:28:55,662 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:55,662 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:28:55,662 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:55,662 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:28:55,662 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:28:56,665 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:28:56 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:28:56,665 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:28:56,666 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
