god-runtime  | 2026-06-11 20:31:10,916 [DEBUG] god.events: ΓåÆ world.local-dev-world-1.events.cognitive.agent.thought (seq=4617)
god-runtime  | 2026-06-11 20:31:10,925 [DEBUG] god.runner:   Elder-Lore-BD30 [philosopher/existential]: I am composing a philosophical treatise and seeking another mind to challenge my
god-runtime  | DEBUG:    > TEXT '{"type": "delta", "epoch": 62, "events": [{"eve...ges": [], "agents": []}' [643 bytes]
god-runtime  | 2026-06-11 20:31:10,931 [DEBUG] httpcore.connection: connect_tcp.started host='ipfs-node-1' port=5001 local_address=None timeout=12 socket_options=None
god-runtime  | 2026-06-11 20:31:10,933 [DEBUG] httpcore.connection: connect_tcp.complete return_value=<httpcore._backends.anyio.AnyIOStream object at 0x7db4aa393c10>
god-runtime  | 2026-06-11 20:31:10,933 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:10,933 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:31:10,933 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:10,933 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:31:10,933 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:10,936 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Access-Control-Allow-Headers', b'X-Stream-Output, X-Chunked-Output, X-Content-Length'), (b'Access-Control-Expose-Headers', b'X-Stream-Output, X-Chunked-Output, X-Content-Length'), (b'Content-Type', b'application/json'), (b'Server', b'kubo/0.42.0'), (b'Trailer', b'X-Stream-Error'), (b'Vary', b'Origin'), (b'X-Chunked-Output', b'1'), (b'Date', b'Thu, 11 Jun 2026 20:31:10 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:31:10,937 [INFO] httpx: HTTP Request: POST http://ipfs-node-1:5001/api/v0/add "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:31:10,937 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:10,947 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:31:10,947 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:31:10,948 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:31:10,948 [DEBUG] httpcore.connection: close.started
god-runtime  | 2026-06-11 20:31:10,948 [DEBUG] httpcore.connection: close.complete
god-runtime  | 2026-06-11 20:31:10,960 [DEBUG] god.memory: episode committed c998808c id=bb08851c cid=QmWjhZqQCNX7
god-runtime  | 2026-06-11 20:31:10,991 [INFO] god.runner:   Elder-Hook-5FE2 [parasite] SLEEPING ΓÇö running dream cycle
god-runtime  | 2026-06-11 20:31:10,991 [INFO] god.dream: DREAM START: Elder-Hook-5FE2 (f79eec5e) archetype=parasite emo=neutral
god-runtime  | 2026-06-11 20:31:11,003 [DEBUG] god.dream: _fetch_recent_memories: selected 7/50 for f79eec5e
god-runtime  | 2026-06-11 20:31:11,003 [DEBUG] god.dream:   [Elder-Hook-5FE2] memories fetched: 7 episodes
god-runtime  | 2026-06-11 20:31:11,003 [DEBUG] god.dream:   [Elder-Hook-5FE2] distortion: 0 flipped, 3 counterfactual
god-runtime  | 2026-06-11 20:31:11,004 [DEBUG] httpcore.http11: send_request_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:11,004 [DEBUG] httpcore.http11: send_request_headers.complete
god-runtime  | 2026-06-11 20:31:11,004 [DEBUG] httpcore.http11: send_request_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:11,004 [DEBUG] httpcore.http11: send_request_body.complete
god-runtime  | 2026-06-11 20:31:11,004 [DEBUG] httpcore.http11: receive_response_headers.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:11,872 [DEBUG] httpcore.http11: receive_response_headers.complete return_value=(b'HTTP/1.1', 200, b'OK', [(b'Content-Type', b'application/x-ndjson'), (b'Date', b'Thu, 11 Jun 2026 20:31:11 GMT'), (b'Transfer-Encoding', b'chunked')])
god-runtime  | 2026-06-11 20:31:11,872 [INFO] httpx: HTTP Request: POST http://host.docker.internal:11434/api/chat "HTTP/1.1 200 OK"
god-runtime  | 2026-06-11 20:31:11,872 [DEBUG] httpcore.http11: receive_response_body.started request=<Request [b'POST']>
god-runtime  | 2026-06-11 20:31:13,141 [DEBUG] httpcore.http11: receive_response_body.complete
god-runtime  | 2026-06-11 20:31:13,141 [DEBUG] httpcore.http11: response_closed.started
god-runtime  | 2026-06-11 20:31:13,141 [DEBUG] httpcore.http11: response_closed.complete
god-runtime  | 2026-06-11 20:31:13,142 [DEBUG] god.dream: _generate_mutation_proposal LLM success: 'I should establish a new coalition with Agent-Synthesis-1E11'
